field, time, ra, dec, az, alt, airmass, ha, FU1_ra, FU1_dec, FU1_Delta_ra, FU1_Delta_dec, FU1_distance, FU1_Delta_Teff, FU1_X_calculated, FU1_Y_calculated, FU1_X_observed, FU1_Y_observed, FU2_ra, FU2_dec, FU2_Delta_ra, FU2_Delta_dec, FU2_distance, FU2_Delta_Teff, FU2_X_calculated, FU2_Y_calculated, FU2_X_observed, FU2_Y_observed, FU3_ra, FU3_dec, FU3_Delta_ra, FU3_Delta_dec, FU3_distance, FU3_Delta_Teff, FU3_X_calculated, FU3_Y_calculated, FU3_X_observed, FU3_Y_observed, FU4_ra, FU4_dec, FU4_Delta_ra, FU4_Delta_dec, FU4_distance, FU4_Delta_Teff, FU4_X_calculated, FU4_Y_calculated, FU4_X_observed, FU4_Y_observed, FU5_ra, FU5_dec, FU5_Delta_ra, FU5_Delta_dec, FU5_distance, FU5_Delta_Teff, FU5_X_calculated, FU5_Y_calculated, FU5_X_observed, FU5_Y_observed 
TOI-2407_W_2021-01-12.fits, 1610502202.020784, 49.58201094685599, -46.125522825447696, 215.27208599515916, 67.88458490781262, 1.0794154247341163, 0.31918497383039796, 49.384873440725, -46.44172367149364, -0.19713750613098568, -0.3162008460459447, 29150.94146178416, 9.239999999999782, -11453931, -3250460, -11450314.0, -3242657.0, 49.92202197793422, -46.38265426572745, 0.3400110310782338, -0.2571314402797569, 29494.501090414604, -215.82000000000016, -14065720, -2129178, -14069807.0, -2131441.0, 49.76996484888048, -46.16114759019215, 0.18795390202448914, -0.03562476474445475, 11421.296616700887, 16.809999999999945, -10032622, 19152314, -10023749.0, 19148125.0, 49.649296938863024, -45.94701186399091, 0.06728599200703655, 0.17851096145678724, 15610.497908600699, 1493.4099999999994, -12477323, 12872209, -12481571.0, 12870175.0, 49.10424209840995, -46.218196513180985, -0.47776884844603984, -0.09267368773328855, 29089.475323388062, -532.1500000000001, -1734554, -5336546, -1741559.0, -5324848.0 
TOI-2407_W_2021-01-12.fits, 1610502407.663356, 49.582011001646514, -46.12552280189354, 216.3320111242732, 67.44604412324438, 1.082815051968657, 0.33418066757532167, 49.38487349527824, -46.441723648100556, -0.19713750636827143, -0.3162008462070176, 29150.982622439726, 9.239999999999782, -11453982, -3250483, -11450721.0, -3243192.0, 49.92202203231947, -46.38265424255074, 0.34001103067295446, -0.2571314406572043, 29494.365144481944, -215.82000000000016, -14065630, -2129073, -14070946.0, -2130676.0, 49.769964903643434, -46.16114756671234, 0.18795390199692008, -0.03562476481879884, 11421.125406752497, 16.809999999999945, -10032450, 19152343, -10023558.0, 19148690.0, 49.64929699386254, -45.94701184047824, 0.06728599221602849, 0.17851096141529865, 15610.482585883025, 1493.4099999999994, -12477159, 12872033, -12480677.0, 12869766.0, 49.10424215348349, -46.21819648927167, -0.47776884816302356, -0.09267368737813086, 29089.633118209757, -532.1500000000001, -1734504, -5336706, -1741408.0, -5325069.0 
TOI-2407_W_2021-01-12.fits, 1610502613.30606, 49.58201105643709, -46.12552277833934, 217.34082638301007, 66.99660135938689, 1.0863877332252139, 0.349176370934627, 49.3848735498315, -46.441723624707464, -0.1971375066055927, -0.31620084636812607, 29151.022757807947, 9.239999999999782, -11454030, -3250506, -11450817.0, -3242488.0, 49.92202208670477, -46.38265421937402, 0.3400110302676822, -0.2571314410346801, 29494.227619512334, -215.82000000000016, -14065537, -2128967, -14070240.0, -2130718.0, 49.76996495840641, -46.161147543232524, 0.1879539019693226, -0.035624764893185557, 11420.95307720027, 16.809999999999945, -10032275, 19152370, -10023739.0, 19148304.0, 49.649297048862095, -45.947011816965514, 0.06728599242500621, 0.17851096137382427, 15610.468448944956, 1493.4099999999994, -12476995, 12871855, -12480010.0, 12869939.0, 49.10424220855707, -46.21819646536236, -0.4777688478800215, -0.09267368702302292, 29089.79129567969, -532.1500000000001, -1734452, -5336866, -1741592.0, -5324658.0 
TOI-2407_W_2021-01-12.fits, 1610502818.235924, 49.58201111103772, -46.12552275486681, 218.29704463879344, 66.53853269056529, 1.0901225758423483, 0.3641200931723859, 49.38487360419564, -46.44172360139545, -0.19713750684208264, -0.3162008465286448, 29151.06173148316, 9.239999999999782, -11454077, -3250529, -11450162.0, -3241920.0, 49.92202214090154, -46.382654196277635, 0.3400110298638168, -0.2571314414108272, 29494.088959260724, -215.82000000000016, -14065441, -2128863, -14069274.0, -2130799.0, 49.76996501297957, -46.16114751983408, 0.1879539019418459, -0.03562476496727385, 11420.780187640163, 16.809999999999945, -10032100, 19152396, -10023300.0, 19147792.0, 49.649297103671, -45.94701179353431, 0.0672859926332805, 0.1785109613324991, 15610.455549534987, 1493.4099999999994, -12476830, 12871674, -12481214.0, 12869504.0, 49.10424226343974, -46.21819644153594, -0.47776884759798577, -0.09267368666913, 29089.949339197054, -532.1500000000001, -1734399, -5337027, -1742187.0, -5323828.0 
TOI-2407_W_2021-01-12.fits, 1610503023.878565, 49.58201116582828, -46.12552273131262, 219.20910580125388, 66.0692795534314, 1.0940480964620791, 0.37911579194181255, 49.38487365874887, -46.44172357800236, -0.19713750707940392, -0.316200846689739, 29151.09981129876, 9.239999999999782, -11454122, -3250551, -11451173.0, -3242008.0, 49.922022195286814, -46.38265417310091, 0.34001102945853745, -0.25713144178828884, 29493.94815648356, -215.82000000000016, -14065340, -2128758, -14070070.0, -2130084.0, 49.76996506774253, -46.16114749635426, 0.18795390191425554, -0.03562476504163925, 11420.605490507895, 16.809999999999945, -10031921, 19152419, -10022421.0, 19148810.0, 49.64929715867053, -45.94701177002161, 0.06728599284225112, 0.17851096129101052, 15610.443807872589, 1493.4099999999994, -12476664, 12871491, -12480345.0, 12869129.0, 49.10424231851329, -46.218196417626615, -0.4777688473149837, -0.09267368631399364, 29090.10838257084, -532.1500000000001, -1734344, -5337188, -1742088.0, -5324366.0 
TOI-2407_W_2021-01-12.fits, 1610503229.52115, 49.582011220618824, -46.12552270775844, 220.0754068209787, 65.59101303540876, 1.0981542896667007, 0.3941114866256184, 49.384873713302106, -46.44172355460928, -0.19713750731671809, -0.3162008468508404, 29151.13685582694, 9.239999999999782, -11454165, -3250572, -11451072.0, -3242582.0, 49.92202224967208, -46.382654149924186, 0.3400110290532581, -0.25713144216574335, 29493.805646474673, -215.82000000000016, -14065236, -2128653, -14070447.0, -2130241.0, 49.76996512250548, -46.161147472874454, 0.18795390188665806, -0.03562476511601176, 11420.429539067098, 16.809999999999945, -10031741, 19152441, -10023076.0, 19149136.0, 49.649297213670046, -45.94701174650892, 0.06728599305122174, 0.17851096124952193, 15610.433281659905, 1493.4099999999994, -12476497, 12871304, -12479637.0, 12869560.0, 49.10424237358683, -46.21819639371732, -0.47776884703199585, -0.0926736859588786, 29090.26791181044, -532.1500000000001, -1734289, -5337350, -1741471.0, -5325035.0 
TOI-2407_W_2021-01-12.fits, 1610503434.451064, 49.58201127521946, -46.12552268428589, 220.89497555770703, 65.1059950838534, 1.1024287935466508, 0.4090552125144018, 49.38487376766627, -46.44172353129728, -0.1971375075531867, -0.3162008470113875, 29151.172737294495, 9.239999999999782, -11454207, -3250594, -11451302.0, -3242258.0, 49.922022303868864, -46.38265412682779, 0.3400110286494069, -0.25713144254189757, 29493.66188663282, -215.82000000000016, -14065129, -2128549, -14069378.0, -2130064.0, 49.76996517707865, -46.16114744947601, 0.18795390185919558, -0.035624765190121366, 11420.252902664715, 16.809999999999945, -10031559, 19152462, -10023089.0, 19148073.0, 49.64929726847897, -45.94701172307771, 0.06728599325951024, 0.17851096120818255, 15610.424012724154, 1493.4099999999994, -12476330, 12871115, -12480581.0, 12869444.0, 49.10424242846951, -46.21819636989089, -0.4777688467499459, -0.09267368560499989, 29090.427406856677, -532.1500000000001, -1734233, -5337512, -1741674.0, -5324841.0 
TOI-2407_W_2021-01-12.fits, 1610503639.380978, 49.58201132982011, -46.125522660813346, 221.67265845175177, 64.61310686454564, 1.1068884650039448, 0.4239989384031852, 49.38487382203043, -46.44172350798525, -0.19713750778968375, -0.3162008471719062, 29151.207580382707, 9.239999999999782, -11454247, -3250614, -11451228.0, -3241992.0, 49.92202235806565, -46.3826541037314, 0.3400110282455344, -0.2571314429180518, 29493.516339435773, -215.82000000000016, -14065018, -2128444, -14069233.0, -2129839.0, 49.76996523165181, -46.16114742607756, 0.18795390183169758, -0.03562476526421676, 11420.07492581879, 16.809999999999945, -10031376, 19152480, -10023199.0, 19148002.0, 49.649297323287875, -45.94701169964648, 0.0672859934677632, 0.1785109611668645, 15610.415974990236, 1493.4099999999994, -12476162, 12870923, -12479757.0, 12869342.0, 49.10424248335218, -46.21819634606444, -0.4777688464679315, -0.09267368525109276, 29090.58745544345, -532.1500000000001, -1734176, -5337674, -1741927.0, -5325307.0 
TOI-2407_W_2021-01-12.fits, 1610503845.023911, 49.58201138461075, -46.125522637259124, 222.41268911208957, 64.1110881801557, 1.1115528986930332, 0.4389946584527992, 49.384873876583754, -46.44172348459213, -0.19713750802699792, -0.3162008473330076, 29151.241494582493, 9.239999999999782, -11454286, -3250635, -11451416.0, -3242288.0, 49.92202241245099, -46.382654080554644, 0.34001102784024084, -0.2571314432955205, 29493.368440682574, -215.82000000000016, -14064903, -2128339, -14070024.0, -2130366.0, 49.76996528641486, -46.16114740259772, 0.1879539018041072, -0.035624765338596376, 11419.894932842328, 16.809999999999945, -10031189, 19152497, -10023154.0, 19147192.0, 49.649297378287486, -45.94701167613376, 0.06728599367673382, 0.1785109611253617, 15610.409160494843, 1493.4099999999994, -12475993, 12870727, -12480529.0, 12869334.0, 49.10424253842583, -46.2181963221551, -0.4777688461849223, -0.09267368489597771, 29090.748653929593, -532.1500000000001, -1734118, -5337838, -1742336.0, -5325552.0 
TOI-2407_W_2021-01-12.fits, 1610504460.526557, 49.58201154860266, -46.12552256675982, 224.40284554553918, 62.56863965737952, 1.1266801205216121, 0.48387782190003725, 49.38487403986536, -46.44172341457499, -0.19713750873729907, -0.31620084781516766, 29151.336640669913, 9.239999999999782, -11454395, -3250692, -11450515.0, -3241212.0, 49.922022575229896, -46.38265401118511, 0.3400110266272378, -0.25713144442529057, 29492.91421659142, -215.82000000000016, -14064538, -2128024, -14069309.0, -2130369.0, 49.769965450324214, -46.161147332321, 0.18795390172155635, -0.03562476556118099, 11419.347326666002, 16.809999999999945, -10030618, 19152538, -10022445.0, 19146854.0, 49.64929754290489, -45.947011605758625, 0.0672859943022317, 0.17851096100119435, 15610.396404479194, 1493.4099999999994, -12475481, 12870123, -12480981.0, 12868147.0, 49.10424270326478, -46.21819625059289, -0.4777688453378772, -0.09267368383306973, 29091.235056707566, -532.1500000000001, -1733940, -5338332, -1743077.0, -5323973.0 
